OBJECTID *,Shape *,FID_Macro,SiteID,CC_Num,Waterbody,Location,Date_,Sample_Type,Bioclass,Latitude,Longitude,EPT_S,BI,% Impervious,Drainage,Elevation,Boulder,Cobble,Gravel,Sand,Silt,Other_Substrate,Sub_Desc,Canopy,Temp_C,Sp_Cond,pH_SU,Diss_Oxy,Stream_Width,Channel_Width,Avg_Stream_Depth,MaxStream_Depth,Channel_Modification,Instream_Habitat,Substrate,Shade,Region,Basin,FID_Haw_Upper_Nuese_piedmont,FID_Haw_Upper_Nuese,BASIN,FID_Piedmont_statecl
272,Point,972,BB443,9029,HAW R,US 64,2002-10-03T00:00:00Z,EPT,Good,35.731111,-79.106111,23,4.007752,0.0477753018298,1296,257,40,40,10,10,0,<Null>,NA,0,24,506,7.4,7.4,26,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
273,Point,973,BB443,10515,HAW R,US 64,2008-07-23T00:00:00Z,Full Scale,Excellent,35.731111,-79.106111,32,5.127479,0.0477753018298,1296,257,20,20,0,0,10,50,Bedrock,25,27.2,277,7,5.8,50,55,0.3,1,5,16,12,3,<Null>,<Null>,1,1,Cape Fear,1
274,Point,974,BB443,11660,HAW R,US 64,2013-09-26T00:00:00Z,Full Scale,Excellent,35.731111,-79.106111,30,5.07483,0.0477753018298,1296,255,30,10,10,30,10,10,Bedrock,10,22.6,400,8.5,8.6,90,100,0.5,2,5,18,12,2,<Null>,<Null>,1,1,Cape Fear,1
275,Point,2645,JB267,7783,UT POPLAR CR,NR SR 2509,1998-11-10T00:00:00Z,Qual 4,Not Rated,35.73,-78.458333,5,5.782979,NA,0.19,267,0,0,10,75,5,<Null>,NA,90,13,70,6.5,7.9,1,<Null>,0.1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
276,Point,1480,BB174,5004,LOVES CR,NR US 64,1989-08-01T00:00:00Z,Full Scale,Poor,35.730556,-79.426111,2,8.333803,0.103504123755,8.22,499,25,60,15,10,0,<Null>,NA,9,<Null>,<Null>,<Null>,<Null>,4,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
277,Point,1481,BB174,7309,LOVES CR,NR US 64,1997-06-27T00:00:00Z,Full Scale,Poor,35.730556,-79.426111,4,7.453279,0.103504123755,8.22,499,30,30,20,30,0,<Null>,NA,0,26,490,7.2,6,6,<Null>,0.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
278,Point,1482,BB174,9164,LOVES CR,NR US 64,2003-06-24T00:00:00Z,Full Scale,Fair,35.730556,-79.426111,6,6.821687,0.103504123755,8.22,499,35,35,20,10,0,<Null>,NA,80,23,570,7.6,8.5,6,<Null>,0.3,0.8,4,12,12,10,<Null>,<Null>,1,1,Cape Fear,1
279,Point,2646,JB293,7782,UT POPLAR CR,SR 2509,1998-11-10T00:00:00Z,Qual 4,Not Rated,35.730278,-78.460556,1,7.72449,NA,0.29,291,0,10,10,70,0,<Null>,NA,80,17,354,7.5,8.1,1,<Null>,0.1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
280,Point,2383,JB79,4837,SWIFT CR,US 1,1989-03-02T00:00:00Z,EPT,Fair,35.734722,-78.799444,9,6.033333,NA,5.04,355,0,10,20,70,0,<Null>,NA,3,<Null>,<Null>,<Null>,<Null>,6,<Null>,0.5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
281,Point,2384,JB79,5636,SWIFT CR,US 1,1991-07-09T00:00:00Z,EPT,Fair,35.734722,-78.799444,10,6.468293,NA,5.04,355,10,25,25,40,0,<Null>,NA,0,<Null>,<Null>,<Null>,<Null>,2,<Null>,0.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
282,Point,2385,JB79,6867,SWIFT CR,US 1,1995-07-24T00:00:00Z,EPT,Poor,35.734722,-78.799444,4,6.8875,NA,5.04,355,0,0,10,70,20,<Null>,NA,60,<Null>,<Null>,<Null>,<Null>,5,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
283,Point,2386,JB79,8106,SWIFT CR,US 1,2000-05-10T00:00:00Z,Qual 4,Not Rated,35.734722,-78.799444,8,6.814583,NA,5.04,355,15,15,30,30,10,<Null>,NA,20,25,122,<Null>,6.6,3,<Null>,0.3,<Null>,3,10,6,5,<Null>,<Null>,2,2,Neuse,1
284,Point,2387,JB79,8136,SWIFT CR,US 1,2000-07-05T00:00:00Z,EPT,Poor,35.734722,-78.799444,5,6.604,NA,5.04,355,10,15,30,40,3,<Null>,NA,0,28,121,7.3,5.6,2,<Null>,0.3,<Null>,2,14,6,2,<Null>,<Null>,2,2,Neuse,1
285,Point,2388,JB79,8385,SWIFT CR,US 1,2001-04-10T00:00:00Z,Qual 4,Not Rated,35.734722,-78.799444,7,7.203846,NA,5.04,355,0,10,30,50,10,<Null>,NA,20,23.7,104,7.5,8.1,3,7,0.2,0.4,5,11,14,3,<Null>,<Null>,2,2,Neuse,1
286,Point,2389,JB79,10661,SWIFT CR,US 1,2009-05-04T00:00:00Z,EPT,Poor,35.734722,-78.799444,4,6.491667,NA,5.04,355,<Null>,<Null>,50,30,20,<Null>,NA,80,21.4,144,6.1,3.2,5,7,0.2,0.5,3,10,8,10,<Null>,<Null>,2,2,Neuse,1
287,Point,2111,BB192,5002,ROCKY R,US 64,1989-08-01T00:00:00Z,Full Scale,Fair,35.735322,-79.423414,16,6.526996,0.017780028408,69.4,492,15,45,25,15,0,<Null>,NA,8,<Null>,<Null>,<Null>,<Null>,9,<Null>,0.4,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
288,Point,2112,BB192,6312,ROCKY R,US 64,1993-07-27T00:00:00Z,Full Scale,Fair,35.735322,-79.423414,12,6.944983,0.017780028408,69.4,492,20,35,20,25,0,<Null>,NA,90,<Null>,<Null>,<Null>,<Null>,8,<Null>,0.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
289,Point,2113,BB192,7311,ROCKY R,US 64,1997-06-27T00:00:00Z,Full Scale,Good-Fair,35.735322,-79.423414,20,6.674257,0.017780028408,69.4,492,25,30,15,30,0,<Null>,NA,30,25,90,<Null>,<Null>,17,<Null>,0.5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
290,Point,2114,BB192,7650,ROCKY R,US 64,1998-07-09T00:00:00Z,Full Scale,Good-Fair,35.735322,-79.423414,17,6.322559,0.017780028408,69.4,492,25,35,20,10,10,<Null>,NA,60,29,99,6.8,5.2,10,<Null>,0.3,<Null>,5,19,12,7,<Null>,<Null>,1,1,Cape Fear,1
291,Point,2115,BB192,9201,ROCKY R,US 64,2003-07-21T00:00:00Z,Full Scale,Not Rated,35.735322,-79.423414,15,6.502,0.017780028408,69.4,492,10,50,20,20,0,<Null>,NA,60,26,81,6.9,5.4,8,12,0.6,1,5,14,10,7,<Null>,<Null>,1,1,Cape Fear,1
292,Point,2116,BB192,11676,ROCKY R,US 64,2013-09-24T00:00:00Z,Full Scale,Good-Fair,35.735322,-79.423414,14,6.289894,0.017780028408,69.4,490,20,40,25,0,15,<Null>,NA,60,21.3,104.5,6.3,<Null>,8,10,0.25,0.5,5,16,15,10,<Null>,<Null>,1,1,Cape Fear,1
293,Point,909,BB135,9014,HASKETTS CR,US 220,2003-04-14T00:00:00Z,Full Scale,Poor,35.733611,-79.820278,2,7.017284,0.216668184578,1.6,726,20,40,30,10,0,<Null>,NA,75,14,81,7.7,7.4,4,7,0.3,1.5,5,13,14,10,<Null>,<Null>,1,1,Cape Fear,1
294,Point,2364,JB342,11854,SWIFT CR,COVERED BRIDGE,2014-05-06T00:00:00Z,Qual 4,Fair,35.737312,-78.800349,3,6.947727,NA,4.99,325,20,10,10,50,10,<Null>,NA,70,19.100000000000001,115,6.17,8.5,3,6,0.3,0.7,3,12,4,8,<Null>,<Null>,2,2,Neuse,1
295,Point,2366,JB277,8122,SWIFT CR,MCKENAN RD,2000-05-19T00:00:00Z,Qual 4,Not Rated,35.7375,-78.809722,7,6.407222,NA,1.92,358,25,50,15,10,0,<Null>,NA,90,20,113,<Null>,5,3,<Null>,0.2,<Null>,5,13,14,10,<Null>,<Null>,2,2,Neuse,1
296,Point,2367,JB277,10664,SWIFT CR,MCKENAN RD,2009-05-07T00:00:00Z,Qual 4,Fair,35.7375,-78.809722,4,6.589247,NA,1.92,358,0,10,20,20,50,<Null>,NA,85,19.899999999999999,91,6.2,5.7,3,4,0.5,1,5,14,6,10,<Null>,<Null>,2,2,Neuse,1
297,Point,2370,JB341,11853,SWIFT CR,OFF GREGSON RD,2014-05-06T00:00:00Z,Qual 4,Poor,35.7385,-78.80465,2,7.850617,NA,0,340,10,20,20,40,10,<Null>,NA,30,19,113,5.9,7.9,7,8,0.2,0.8,2,7,8,2,<Null>,<Null>,2,2,Neuse,1
298,Point,1903,BB378,9016,PENWOOD BR,SR 2182,2003-04-15T00:00:00Z,Full Scale,Fair,35.736667,-79.785833,10,6.498256,0.153954487403,2.8,698,0,40,50,10,0,<Null>,NA,90,14,116,7.6,8.8000000000000007,4,6,0.2,0.4,5,15,14,10,<Null>,<Null>,1,1,Cape Fear,1
299,Point,1904,BB378,9841,PENWOOD BR,SR 2182,2006-04-18T00:00:00Z,Qual 4,Fair,35.736667,-79.785833,14,6.202041,0.153954487403,2.8,698,10,30,30,20,10,<Null>,NA,70,13.9,149,7.1,8.4,5,7,0.2,0.4,5,14,12,10,<Null>,<Null>,1,1,Cape Fear,1
300,Point,2777,JB80,4839,WILLIAMS CR,OLD RALEIGH RD,1989-03-06T00:00:00Z,EPT,Poor,35.739167,-78.808056,4,6.466667,NA,2.75,353,0,5,30,65,0,<Null>,NA,9,<Null>,<Null>,<Null>,<Null>,3,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
301,Point,2381,JB278,4838,SWIFT CR,SR 1435,1989-03-06T00:00:00Z,EPT,Poor,35.74104,-78.82488,1,6.7,NA,2.8,380,15,20,45,20,0,<Null>,NA,9,<Null>,<Null>,<Null>,<Null>,2,<Null>,0.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
302,Point,2382,JB278,10665,SWIFT CR,SR 1435,2009-05-07T00:00:00Z,Qual 4,Fair,35.74104,-78.82488,4,6.714118,NA,2.8,380,30,30,20,10,10,<Null>,NA,80,20,114,7,6.6,2,3,0.2,0.75,2,15,4,9,<Null>,<Null>,2,2,Neuse,1
303,Point,2780,JB64,8123,WILLIAMS CR,US 64,2000-05-19T00:00:00Z,Qual 4,Poor,35.7425,-78.813333,6,7.291057,NA,2.5,360,5,10,25,40,20,<Null>,NA,90,21,168,<Null>,5.7,2,<Null>,0.2,<Null>,5,11,2,10,<Null>,<Null>,2,2,Neuse,1
304,Point,2781,JB64,10666,WILLIAMS CR,US 64,2009-05-07T00:00:00Z,Qual 4,Poor,35.7425,-78.813333,2,7.122,NA,2.5,360,0,10,30,30,30,<Null>,NA,85,22.9,101,6.9,7.8,3,4,0.2,1,5,12,8,10,<Null>,<Null>,2,2,Neuse,1
305,Point,2782,JB64,11852,WILLIAMS CR,US 64,2014-05-06T00:00:00Z,Qual 4,Poor,35.7425,-78.813333,2,7.764706,NA,2.5,360,40,20,10,20,10,<Null>,NA,80,19.399999999999999,<Null>,5.74,<Null>,4,7,0.2,0.3,0,10,11,10,<Null>,<Null>,2,2,Neuse,1
306,Point,2775,JB340,11851,WILLIAMS CR,BE LAKE PINE DR,2014-05-01T00:00:00Z,Qual 4,Poor,35.74585,-78.815516,2,7.591566,NA,2.24,395,0,3,57,40,0,<Null>,NA,90,23.3,95.9,6.38,7.54,4,5,0.4,0.8,3,11,8,10,<Null>,<Null>,2,2,Neuse,1
307,Point,2776,JB339,11850,WILLIAMS CR,BE PINE LAKE DAM,2014-05-01T00:00:00Z,Qual 4,Poor,35.746633,-78.8174,1,8.292157,NA,2.2,402,10,20,30,40,0,<Null>,NA,60,23.7,94.8,6.4,7.9,7,14,0.2,0.5,2,6,4,7,<Null>,<Null>,2,2,Neuse,1
308,Point,2748,JB264,3697,WALNUT CR,SR 2551,1985-11-08T00:00:00Z,Full Scale,Fair,35.749444,-78.534167,13,6.456552,0.171454644429,45.8067,203,0,0,10,70,20,<Null>,NA,0,<Null>,<Null>,<Null>,<Null>,7,<Null>,0.4,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
309,Point,2749,JB264,6459,WALNUT CR,SR 2551,1994-03-24T00:00:00Z,Full Scale,Fair,35.749444,-78.534167,12,6.420149,0.171454644429,45.8067,203,10,0,0,80,10,<Null>,NA,0,17,<Null>,<Null>,<Null>,10,<Null>,0.5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
310,Point,2750,JB264,6896,WALNUT CR,SR 2551,1995-07-26T00:00:00Z,Full Scale,Fair,35.749444,-78.534167,10,6.977848,0.171454644429,45.8067,203,0,0,0,80,20,<Null>,NA,70,25,110,7.1,5.9,13,<Null>,0.4,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
311,Point,2751,JB264,8158,WALNUT CR,SR 2551,2000-07-27T00:00:00Z,Full Scale,Good-Fair,35.749444,-78.534167,15,6.352764,0.171454644429,45.8067,203,10,0,0,85,5,<Null>,NA,0,23,123,6.9,7.8,9,<Null>,0.5,<Null>,4,12,3,7,<Null>,<Null>,2,2,Neuse,1
312,Point,544,BB127,3027,DEEP R,SR 2226,1983-08-24T00:00:00Z,Full Scale,Poor,35.751111,-79.732222,5,7.714694,0.10504101482,266,501,30,30,25,15,0,<Null>,NA,4,<Null>,<Null>,<Null>,<Null>,30,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
313,Point,545,BB127,3601,DEEP R,SR 2226,1985-07-31T00:00:00Z,Full Scale,Poor,35.751111,-79.732222,9,7.574708,0.10504101482,266,501,30,30,25,15,0,<Null>,NA,4,<Null>,<Null>,<Null>,<Null>,30,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
314,Point,546,BB127,3887,DEEP R,SR 2226,1986-08-05T00:00:00Z,Full Scale,Fair,35.751111,-79.732222,12,6.790845,0.10504101482,266,501,50,20,20,10,0,<Null>,NA,2,<Null>,<Null>,<Null>,<Null>,40,<Null>,0.5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
315,Point,547,BB127,4209,DEEP R,SR 2226,1987-08-26T00:00:00Z,Full Scale,Fair,35.751111,-79.732222,17,6.767656,0.10504101482,266,501,30,30,25,15,0,<Null>,NA,4,<Null>,<Null>,<Null>,<Null>,35,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
316,Point,548,BB127,4707,DEEP R,SR 2226,1988-08-17T00:00:00Z,Full Scale,Good-Fair,35.751111,-79.732222,16,6.348413,0.10504101482,266,501,30,30,25,15,0,<Null>,NA,4,<Null>,<Null>,<Null>,<Null>,30,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
317,Point,2778,JB318,10794,WILLIAMS CR,SR 1308,2010-04-05T00:00:00Z,Qual 4,Fair,35.75336,-78.82835,6,6.812097,NA,1.16,412,<Null>,10,25,55,15,<Null>,NA,70,15.9,105,6.1,9.6999999999999993,3,4,0.2,0.5,3,14,3,7,<Null>,<Null>,2,2,Neuse,1
318,Point,2779,JB318,11849,WILLIAMS CR,SR 1308,2014-05-01T00:00:00Z,Qual 4,Fair,35.75336,-78.82835,1,6.8,NA,1.16,412,0,10,30,50,10,<Null>,NA,80,18.600000000000001,81,6.36,8.6999999999999993,3,4,0.2,0.3,2,11,4,10,<Null>,<Null>,2,2,Neuse,1
319,Point,1905,BB382,9017,PENWOOD BR,SR 2261,2003-04-15T00:00:00Z,Full Scale,Fair,35.751667,-79.789167,10,6.2836360000000004,0.13044954644,4.3,635,5,30,35,20,10,<Null>,NA,30,16,101,7.7,9.1,5,7,0.3,0.5,5,11,9,5,<Null>,<Null>,1,1,Cape Fear,1
320,Point,2769,BB99,6070,WHITE OAK CR,NC 751,1993-02-08T00:00:00Z,EPT,Not Rated,35.754444,-78.959444,13,4.645122,NA,19.1,223,0,0,0,90,0,<Null>,NA,90,<Null>,<Null>,<Null>,<Null>,5,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
321,Point,896,BB302,9015,HASKETTS CR,SR 1504,2003-04-14T00:00:00Z,Full Scale,Poor,35.754167,-79.810556,4,7.13956,0.213422804381,2.9,660,5,20,50,20,5,<Null>,NA,80,17,74,6.4,5.9,4,8,0.3,1,5,12,11,10,<Null>,<Null>,1,1,Cape Fear,1
322,Point,897,BB302,9842,HASKETTS CR,SR 1504,2006-04-18T00:00:00Z,Qual 4,Poor,35.754167,-79.810556,1,6.889394,0.213422804381,2.9,660,0,20,40,30,10,<Null>,NA,40,16.5,118,7.1,7,5,7,0.3,0.7,5,12,6,7,<Null>,<Null>,1,1,Cape Fear,1
323,Point,2739,JB281,3701,WALNUT CR,HAMMOND RD,1985-11-06T00:00:00Z,Full Scale,Poor,35.756667,-78.634722,5,8.17093,0.224866997503,22.5363,295,0,0,10,70,20,<Null>,NA,0,<Null>,<Null>,<Null>,<Null>,5,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
324,Point,2742,JB265,3702,WALNUT CR,SR 1700,1985-11-06T00:00:00Z,Full Scale,Poor,35.756944,-78.641111,3,7.537126,0.198107013301,17.167,280,0,0,10,85,5,<Null>,NA,0,<Null>,<Null>,<Null>,<Null>,20,<Null>,1.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
325,Point,2740,JB282,3700,WALNUT CR,SR 1004,1985-11-06T00:00:00Z,Full Scale,Poor,35.7575,-78.631944,2,8.273,0.225834045541,22.7837,250,0,10,20,50,20,<Null>,NA,0,<Null>,<Null>,<Null>,<Null>,6,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
326,Point,2741,JB282,6460,WALNUT CR,SR 1004,1994-03-24T00:00:00Z,Full Scale,Poor,35.7575,-78.631944,7,7.7312,0.225834045541,22.7837,250,0,0,10,70,20,<Null>,NA,40,15,<Null>,<Null>,<Null>,8,<Null>,0.6,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
327,Point,2752,JB263,6437,WALNUT CR,STATE ST,1994-03-24T00:00:00Z,Full Scale,Poor,35.7575,-78.624444,4,7.357576,0.228194642145,23.6274,285,0,0,20,60,20,<Null>,NA,60,<Null>,<Null>,<Null>,<Null>,6,<Null>,0.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
328,Point,2744,JB63,5644,WALNUT CR,SR 2544,1991-07-16T00:00:00Z,EPT,Fair,35.758333,-78.583333,9,6.174138,0.212393405875,29.8,257,5,5,5,85,0,<Null>,NA,0,<Null>,<Null>,<Null>,<Null>,10,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
329,Point,2745,JB63,9736,WALNUT CR,SR 2544,2005-08-26T00:00:00Z,Full Scale,Fair,35.758333,-78.583333,12,6.646995,0.212393405875,29.8,257,10,5,10,75,0,<Null>,NA,90,21.7,148,6.9,6,5,8,0.4,1,5,16,6,10,<Null>,<Null>,2,2,Neuse,1
330,Point,2746,JB63,11023,WALNUT CR,SR 2544,2010-07-10T00:00:00Z,Full Scale,Fair,35.758333,-78.583333,8,6.384659,0.212393405875,29.8,257,25,30,0,20,5,20,Bedrock,80,25.3,207,6,7.5,7,10,0.3,1,5,16,10,10,<Null>,<Null>,2,2,Neuse,1
331,Point,2747,JB63,11963,WALNUT CR,SR 2544,2015-08-24T00:00:00Z,Full Scale,Good-Fair,35.758333,-78.583333,15,6.401195,0.212393405875,29.8,257,10,10,15,45,5,15,bedrock,70,23.9,174,6.6,6.3,9,13,0.3,1,5,11,8,10,<Null>,<Null>,2,2,Neuse,1
332,Point,2633,JB337,11585,UT NEUSE R,DOWNSTREAM OF WWTP,2013-05-31T00:00:00Z,Qual 4,Not Rated,35.758413,-78.508023,4,6.487368,NA,1.8,196,0,0,10,70,0,20,CLAY,100,20.3,108,6.6,5.7,2,2,0.2,0.4,5,15,4,9,<Null>,<Null>,2,2,Neuse,1
333,Point,2770,BB314,7498,WHITE OAK CR,SR 1603,1998-02-13T00:00:00Z,EPT,Not Rated,35.760069,-78.920356,10,4.958333,NA,12,242,0,0,5,85,5,<Null>,NA,90,<Null>,<Null>,<Null>,<Null>,5,<Null>,0.3,<Null>,5,18,3,10,<Null>,<Null>,1,1,Cape Fear,1
334,Point,2771,BB314,9058,WHITE OAK CR,SR 1603,2003-03-05T00:00:00Z,EPT,Not Rated,35.760069,-78.920356,5,5.122222,NA,12,242,0,0,0,90,10,<Null>,NA,90,10,33,7,11.4,5,<Null>,0.5,<Null>,5,15,3,10,<Null>,<Null>,1,1,Cape Fear,1
335,Point,2772,BB314,9100,WHITE OAK CR,SR 1603,2003-04-24T00:00:00Z,EPT,Not Rated,35.760069,-78.920356,9,4.68,NA,12,242,0,0,0,100,0,<Null>,NA,80,16,69,7,9.6,4,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
336,Point,2639,JB336,11586,UT NEUSE R,UPSTREAM OF WWTP,2013-05-31T00:00:00Z,Full Scale,Not Rated,35.76048,-78.5079,3,5.868182,0.0473950766747,1.6,202,0,0,10,80,10,<Null>,NA,80,22.4,104,6.9,6.2,2,6,0.3,0.5,5,13,3,9,<Null>,<Null>,2,2,Neuse,1
337,Point,904,BB370,4014,HASKETTS CR,SR 2149,1987-02-25T00:00:00Z,Full Scale,Fair,35.759722,-79.792222,12,6.855801,0.171104963642,10.5,628,10,30,30,30,0,<Null>,NA,5,<Null>,<Null>,<Null>,<Null>,8,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
338,Point,905,BB370,4705,HASKETTS CR,SR 2149,1988-08-16T00:00:00Z,Full Scale,Fair,35.759722,-79.792222,12,7.602857,0.171104963642,10.5,628,40,30,20,10,0,<Null>,NA,9,<Null>,<Null>,<Null>,<Null>,2,<Null>,0.1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
339,Point,906,BB370,5176,HASKETTS CR,SR 2149,1990-02-21T00:00:00Z,Full Scale,Fair,35.759722,-79.792222,10,7.003947,0.171104963642,10.5,628,15,40,25,20,0,<Null>,NA,8,<Null>,<Null>,<Null>,<Null>,7,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
340,Point,907,BB370,7758,HASKETTS CR,SR 2149,1998-09-09T00:00:00Z,Full Scale,Poor,35.759722,-79.792222,4,6.980702,0.171104963642,10.5,628,25,30,20,20,5,<Null>,NA,90,<Null>,<Null>,<Null>,<Null>,5,<Null>,0.5,<Null>,4,12,12,10,<Null>,<Null>,1,1,Cape Fear,1
341,Point,908,BB370,9021,HASKETTS CR,SR 2149,2003-04-16T00:00:00Z,Full Scale,Fair,35.759722,-79.792222,11,7.320909,0.171104963642,10.5,628,10,10,30,25,25,<Null>,NA,75,15,100,7.5,8.6,6,12,0.3,1.5,5,13,12,10,<Null>,<Null>,1,1,Cape Fear,1
342,Point,2743,JB284,6438,WALNUT CR,SR 2542,1994-03-24T00:00:00Z,Full Scale,Poor,35.7625,-78.614722,5,7.4016,0.226293773372,25.0413,230,0,0,15,70,15,<Null>,NA,80,<Null>,<Null>,<Null>,<Null>,8,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,2,Neuse,1
343,Point,72,BB82,3731,BEARTREE CR,SR 1716,1986-04-01T00:00:00Z,Full Scale,Good,35.763611,-79.0525,29,4.829818,0.0169160583942,2.2,284,30,40,20,10,0,<Null>,NA,0,<Null>,<Null>,<Null>,<Null>,2,<Null>,0.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
344,Point,73,BB82,6078,BEARTREE CR,SR 1716,1993-02-09T00:00:00Z,EPT,Good-Fair,35.763611,-79.0525,21,4.007843,0.0169160583942,2.2,284,35,35,20,10,0,<Null>,NA,90,<Null>,<Null>,<Null>,<Null>,2,<Null>,0.1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
345,Point,74,BB82,6313,BEARTREE CR,SR 1716,1993-07-27T00:00:00Z,EPT,Not Rated,35.763611,-79.0525,10,6.418519,0.0169160583942,2.2,284,50,20,20,10,0,<Null>,NA,100,<Null>,<Null>,<Null>,<Null>,1,<Null>,0.1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
346,Point,75,BB82,7497,BEARTREE CR,SR 1716,1998-02-13T00:00:00Z,EPT,Not Rated,35.763611,-79.0525,22,4.10814,0.0169160583942,2.2,284,30,40,20,10,0,<Null>,NA,90,<Null>,<Null>,<Null>,<Null>,3,<Null>,30,<Null>,5,17,15,10,<Null>,<Null>,1,1,Cape Fear,1
347,Point,910,BB137,9020,HASKETTS CR,US 220 BUS,2003-04-15T00:00:00Z,Full Scale,Poor,35.764167,-79.806944,4,6.812871,0.227325911218,4.3,640,10,20,30,30,10,<Null>,NA,80,17,105,6.9,7.3,5,7,0.3,0.5,5,11,12,10,<Null>,<Null>,1,1,Cape Fear,1
348,Point,898,BB363,4013,HASKETTS CR,SR 2128,1987-02-25T00:00:00Z,Full Scale,Poor,35.768056,-79.779167,3,8.253571,0.159713595681,11.8,574,60,20,10,10,0,<Null>,NA,4,<Null>,<Null>,<Null>,<Null>,8,<Null>,0.5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
349,Point,899,BB363,4211,HASKETTS CR,SR 2128,1987-08-27T00:00:00Z,Full Scale,Poor,35.768056,-79.779167,3,7.8,0.159713595681,11.8,574,45,30,15,10,0,<Null>,NA,7,<Null>,<Null>,<Null>,<Null>,6,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
350,Point,900,BB363,4706,HASKETTS CR,SR 2128,1988-08-15T00:00:00Z,Full Scale,Poor,35.768056,-79.779167,4,7.827211,0.159713595681,11.8,574,40,40,10,10,0,<Null>,NA,7,<Null>,<Null>,<Null>,<Null>,5,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
351,Point,901,BB363,5177,HASKETTS CR,SR 2128,1990-02-21T00:00:00Z,Full Scale,Poor,35.768056,-79.779167,9,7.474576,0.159713595681,11.8,574,40,30,15,15,0,<Null>,NA,9,<Null>,<Null>,<Null>,<Null>,7,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
